Force      Sigma1       Sigma2      Eps1        Eps2        U       RF1     RF2
43.204320432043204 1.9105091269406227 -1.0725665274052618 1.5920909391171856e-05 -8.938054395043848e-06 0.0005094691005174994 32.47865515799059 -10.725665274052618
43.80438043804381 1.9370439759259095 -1.087463284730335 1.6142033132715913e-05 -9.062194039419458e-06 0.0005165450602469092 32.92974759074046 -10.87463284730335
44.404440444044404 1.9635788249111954 -1.102360042055408 1.6363156874259963e-05 -9.186333683795067e-06 0.0005236210199763188 33.38084002349032 -11.02360042055408
45.004500450045 1.9901136738964817 -1.117256799380481 1.6584280615804013e-05 -9.310473328170675e-06 0.0005306969797057284 33.83193245624019 -11.17256799380481
45.604560456045604 2.0166485228817685 -1.132153556705554 1.680540435734807e-05 -9.434612972546283e-06 0.0005377729394351382 34.28302488899006 -11.321535567055541
46.20462046204621 2.0431833718670553 -1.1470503140306272 1.7026528098892127e-05 -9.558752616921893e-06 0.0005448488991645481 34.73411732173994 -11.470503140306272
46.804680468046804 2.0697182208523413 -1.1619470713557003 1.7247651840436177e-05 -9.682892261297502e-06 0.0005519248588939577 35.185209754489804 -11.619470713557003
47.4047404740474 2.096253069837627 -1.1768438286807732 1.7468775581980227e-05 -9.80703190567311e-06 0.0005590008186233673 35.636302187239664 -11.768438286807733
48.004800480048004 2.122787918822914 -1.1917405860058463 1.7689899323524284e-05 -9.93117155004872e-06 0.0005660767783527771 36.08739461998954 -11.917405860058464
48.60486048604861 2.1493227678082008 -1.2066373433309197 1.791102306506834e-05 -1.0055311194424331e-05 0.0005731527380821869 36.53848705273941 -12.066373433309197
49.204920492049204 2.175857616793487 -1.2215341006559925 1.8132146806612394e-05 -1.0179450838799937e-05 0.0005802286978115966 36.98957948548928 -12.215341006559926
49.8049804980498 2.2023924657787735 -1.2364308579810657 1.8353270548156444e-05 -1.0303590483175547e-05 0.0005873046575410062 37.44067191823915 -12.364308579810656
50.405040504050405 2.2289273147640603 -1.2513276153061388 1.85743942897005e-05 -1.0427730127551157e-05 0.000594380617270416 37.89176435098902 -12.513276153061387
51.00510051005101 2.255462163749346 -1.266224372631212 1.879551803124455e-05 -1.0551869771926766e-05 0.0006014565769998256 38.34285678373889 -12.66224372631212
51.605160516051605 2.2819970127346325 -1.281121129956285 1.9016641772788604e-05 -1.0676009416302376e-05 0.0006085325367292353 38.793949216488755 -12.81121129956285
52.2052205220522 2.308531861719919 -1.296017887281358 1.9237765514332658e-05 -1.0800149060677982e-05 0.000615608496458645 39.24504164923862 -12.960178872813579
52.805280528052805 2.335066710705205 -1.3109146446064313 1.945888925587671e-05 -1.0924288705053593e-05 0.0006226844561880548 39.69613408198849 -13.109146446064312
53.40534053405341 2.361601559690492 -1.3258114019315044 1.9680012997420768e-05 -1.1048428349429203e-05 0.0006297604159174646 40.147226514738364 -13.258114019315043
54.005400540054005 2.3881364086757784 -1.3407081592565773 1.990113673896482e-05 -1.117256799380481e-05 0.0006368363756468743 40.59831894748823 -13.407081592565772
54.6054605460546 2.4146712576610647 -1.3556049165816502 2.012226048050887e-05 -1.1296707638180419e-05 0.0006439123353762839 41.0494113802381 -13.556049165816502
55.205520552055205 2.4412061066463515 -1.3705016739067235 2.0343384222052928e-05 -1.142084728255603e-05 0.0006509882951056937 41.50050381298797 -13.705016739067235
55.80558055805581 2.467740955631638 -1.3853984312317966 2.056450796359698e-05 -1.1544986926931638e-05 0.0006580642548351034 41.951596245737846 -13.853984312317966
56.405640564056405 2.4942758046169238 -1.4002951885568695 2.078563170514103e-05 -1.1669126571307246e-05 0.000665140214564513 42.402688678487706 -14.002951885568695
57.005700570057 2.52081065360221 -1.4151919458819426 2.1006755446685085e-05 -1.1793266215682855e-05 0.0006722161742939227 42.85378111123757 -14.151919458819426
57.605760576057605 2.547345502587497 -1.4300887032070158 2.1227879188229142e-05 -1.1917405860058465e-05 0.0006792921340233325 43.30487354398745 -14.300887032070158
58.20582058205821 2.5738803515727837 -1.4449854605320889 2.14490029297732e-05 -1.2041545504434074e-05 0.0006863680937527424 43.75596597673732 -14.449854605320889
58.805880588058805 2.60041520055807 -1.4598822178571618 2.1670126671317252e-05 -1.216568514880968e-05 0.0006934440534821521 44.20705840948719 -14.598822178571618
59.4059405940594 2.626950049543356 -1.4747789751822349 2.18912504128613e-05 -1.228982479318529e-05 0.0007005200132115616 44.65815084223705 -14.74778975182235
60.006000600060005 2.6534848985286423 -1.489675732507308 2.2112374154405352e-05 -1.24139644375609e-05 0.0007075959729409713 45.10924327498692 -14.89675732507308
60.60606060606061 2.680019747513929 -1.5045724898323811 2.233349789594941e-05 -1.253810408193651e-05 0.0007146719326703811 45.5603357077368 -15.045724898323812
61.206120612061206 2.7065545964992155 -1.5194692471574542 2.2554621637493462e-05 -1.2662243726312119e-05 0.0007217478923997908 46.011428140486665 -15.194692471574543
61.8061806180618 2.733089445484502 -1.5343660044825271 2.2775745379037516e-05 -1.2786383370687727e-05 0.0007288238521292005 46.46252057323653 -15.343660044825272
62.406240624062406 2.7596242944697886 -1.5492627618076003 2.2996869120581573e-05 -1.2910523015063335e-05 0.0007358998118586103 46.913613005986406 -15.492627618076003
63.00630063006301 2.786159143455075 -1.5641595191326736 2.3217992862125626e-05 -1.3034662659438946e-05 0.00074297577158802 47.36470543873627 -15.641595191326736
63.606360636063606 2.8126939924403613 -1.5790562764577465 2.343911660366968e-05 -1.3158802303814554e-05 0.0007500517313174297 47.81579787148614 -15.790562764577466
64.2064206420642 2.8392288414256477 -1.5939530337828196 2.366024034521373e-05 -1.3282941948190164e-05 0.0007571276910468393 48.26689030423601 -15.939530337828195
64.8064806480648 2.8657636904109336 -1.6088497911078927 2.388136408675778e-05 -1.3407081592565773e-05 0.0007642036507762489 48.717982736985874 -16.088497911078928
65.40654065406541 2.8922985393962204 -1.6237465484329658 2.4102487828301836e-05 -1.3531221236941383e-05 0.0007712796105056588 49.16907516973575 -16.237465484329658
66.006600660066 2.9188333883815063 -1.6386433057580387 2.4323611569845886e-05 -1.3655360881316989e-05 0.0007783555702350684 49.62016760248561 -16.386433057580387
66.6066606660666 2.945368237366793 -1.653540063083112 2.4544735311389943e-05 -1.37795005256926e-05 0.0007854315299644782 50.07126003523548 -16.53540063083112
67.2067206720672 2.97190308635208 -1.668436820408185 2.4765859052934e-05 -1.3903640170068208e-05 0.000792507489693888 50.52235246798536 -16.68436820408185
67.80678067806781 2.9984379353373667 -1.6833335777332583 2.4986982794478057e-05 -1.402777981444382e-05 0.0007995834494232978 50.97344490073523 -16.833335777332582
68.40684068406841 3.024972784322653 -1.6982303350583314 2.520810653602211e-05 -1.4151919458819429e-05 0.0008066594091527075 51.4245373334851 -16.982303350583315
69.006900690069 3.051507633307939 -1.713127092383404 2.5429230277566157e-05 -1.4276059103195034e-05 0.000813735368882117 51.875629766234965 -17.13127092383404
69.6069606960696 3.0780424822932253 -1.7280238497084774 2.565035401911021e-05 -1.4400198747570645e-05 0.0008208113286115267 52.32672219898483 -17.280238497084774
